Des'n	H	G	Epoch	M	Peri.	Node	Incl.	e	n	a	#Obs	#Opp	rms	Per	ts
d	c	c	d	c	c	c	c	c	c	c	c	c	c	d	d
1566	16.9	0.15	K161D	223.32108	31.37858	88.01663	22.82823	0.8268941	0.88051721	1.078063	1017	33	1.08	M-v	3Eh
1620	15.6	0.15	K161D	180.47273	276.87866	337.21641	13.33771	0.3354148	0.70920276	1.2453434	3493	31	1.81	M-v	3Eh
1862	16.25	0.09	K161D	283.82134	285.97279	35.6397	6.35478	0.5599037	0.55288217	1.4702155	1258	26	0.52	M-h	3Eh
1981	15.2	0.15	K161D	6.62914	267.79861	356.90525	39.83312	0.6500106	0.41638074	1.7761336	529	21	0.45	M-h	3Eh
2101	18.8	0.15	K161D	81.59272	43.24174	349.8423	1.33041	0.7638281	0.38390306	1.8749441	91	8	0.86	M-h	3Eh
2102	16	0.15	K161D	85.78649	61.55501	94.36995	64.00534	0.2991488	0.6726565	1.2900518	673	16	0.48	M-h	3Eh
2135	17.94	0.15	K161D	83.44437	290.87401	191.22122	23.06143	0.5030548	0.48723535	1.5994728	45	9	0.65	M-h	3Eh
2201	15.25	0.15	K161D	71.37942	98.22868	75.00966	2.52239	0.7131248	0.30733611	2.1746715	817	24	0.53	M-v	3Eh
2340	20.2	0.15	K161D	304.52515	39.98199	211.44129	5.85602	0.4498822	1.27132214	0.8439155	321	7	0.62	M-h	3Eh
3122	14.1	0.15	K161D	100.14583	27.72287	336.12126	22.16219	0.4227358	0.41903398	1.7686282	1581	23	0.43	M-h	3Eh
3200	14.6	0.15	K161D	208.83334	322.1491	265.25513	22.24287	0.8898752	0.6876795	1.2711945	3132	30	0.48	M-v	3Eh
3361	19.03	0.15	K161D	175.49187	301.76777	189.40138	2.68456	0.3228121	0.7407253	1.2097564	620	14	0.53	M-h	3Eh
3362	18.3	0.15	K161D	35.75877	55.03499	152.45246	9.9173	0.4685318	1.00132812	0.989506	251	18	0.68	M-v	3Eh
3671	16.5	0.15	K161D	244.40808	204.21734	82.13197	13.53471	0.541471	0.30227236	2.1988913	476	13	0.59	M-h	3Eh
3757	18.95	0.15	K161D	104.61782	17.16752	74.97328	3.86822	0.4456174	0.39664406	1.8345748	150	7	0.88	M-v	3Eh
4015	15.99	0.15	K161D	161.9122	92.63706	269.21653	2.76832	0.6269775	0.22987692	2.639201	852	17	0.51	M-h	3Eh
4034	18.4	0.15	K161D	249.06508	296.62477	157.96075	11.16902	0.4440327	0.90342175	1.0597637	465	16	0.51	M-h	3Eh
4179	15.3	0.1	K161D	281.88328	278.72596	124.37362	0.44712	0.6293824	0.24427497	2.5344481	5320	25	0.57	M-v	3Eh
4183	14.4	0.15	K161D	126.46166	236.2885	294.92953	6.70654	0.6344129	0.35311576	1.9824001	1763	25	0.5	M-v	3Eh
4450	17.1	0.15	K161D	171.29742	291.77558	311.85262	5.51978	0.5865445	0.56903851	1.4422535	859	20	0.5	M-h	3Eh
4486	15.6	0.15	K161D	270.66737	168.87605	82.24798	3.03952	0.6628382	0.30216804	2.1993974	694	22	0.52	M-v	3Eh
4581	20.7	0.15	K161D	41.81137	255.28885	180.27663	4.91934	0.3569738	0.95323851	1.0225118	176	7	0.5	M-v	3Eh
4660	18.2	0.15	K161D	253.789	158.01941	314.45887	1.43183	0.359973	0.54260292	1.4887255	519	12	0.58	M-v	3Eh
4769	16.9	0.15	K161D	327.22558	121.35332	325.59194	8.88627	0.4831284	0.89896177	1.0632659	228	14	0.72	M-v	3Eh
4953	14.1	0.15	K161D	197.21653	77.74827	77.73747	24.38786	0.6576183	0.47745578	1.6212399	203	21	0.7	M-v	3Eh
5011	16.4	0.15	K161D	106.34252	105.74771	10.78193	7.40756	0.5000115	0.47120586	1.6355441	528	18	0.47	M-h	3Eh
5189	17.9	0.15	K161D	66.31542	159.65731	135.33737	3.58366	0.4781171	0.51005648	1.5514003	251	14	0.43	M-h	3Eh
5604	17.1	0.15	K161D	345.67629	82.42611	312.12913	4.73975	0.4060054	1.10122745	0.9287198	312	12	0.55	M-h	3Eh
5693	16.6	0.15	K161D	161.75296	258.84155	97.08054	5.05453	0.5852961	0.68766941	1.2712069	844	21	0.49	M-h	3Eh
6037	18.7	0.15	K161D	209.31969	242.07544	182.48183	3.49961	0.4995955	0.68771565	1.2711499	395	12	0.69	M-v	3Eh
6239	18.5	0.15	K161D	191.37361	239.66276	344.61795	3.94498	0.4127584	0.79765641	1.1514864	870	15	0.45	M-h	3Eh
6489	19.2	0.15	K161D	66.98717	68.57601	209.54372	2.2663	0.6124112	0.25157691	2.4851667	935	7	0.71	M-v	3Eh
6491	18.9	0.15	K161D	65.45591	323.57847	301.93116	5.94359	0.5904816	0.24923159	2.500733	179	7	0.53	M-h	3Eh
7335	17	0.15	K161D	90.81658	232.26483	61.3366	15.19537	0.4842292	0.41838234	1.7704642	337	12	0.63	M-v	3Eh
7341	16.7	0.15	K161D	216.0217	173.36686	294.87372	5.41925	0.5065673	0.3942544	1.8419804	936	12	0.6	M-v	3Eh
7482	16.8	0.15	K161D	28.90469	47.60453	117.89867	33.48816	0.3283864	0.63098238	1.3462464	513	14	0.61	M-v	3Eh
7753	18.6	0.15	K161D	121.76486	280.01491	73.45727	3.12264	0.4818382	0.55418263	1.4679145	800	15	0.55	M-v	3Eh
7822	17.4	0.15	K161D	51.56207	249.40428	156.86932	37.12193	0.1646735	0.82831065	1.1228986	858	11	0.51	M-v	3Eh
8014	18.7	0.15	K161D	5.35021	114.40371	210.26398	1.86621	0.4562732	0.42705098	1.7464235	169	8	0.61	M-v	3Eh
8566	16.3	0.15	K161D	184.18953	125.12943	164.14541	37.97528	0.430481	0.53310295	1.5063596	566	12	0.51	M-h	3Eh
9856	17.4	0.15	K161D	95.36643	116.16892	168.1673	9.82646	0.6257363	0.29347989	2.2425931	252	9	0.58	M-v	3Eh
10115	17	0.15	K161D	343.53029	233.60867	8.93156	15.32231	0.3247092	0.70662556	1.2483695	768	14	0.54	M-v	3Eh
11500	18.3	0.15	K161D	32.61559	289.43054	234.4545	10.30944	0.3558625	0.87842623	1.0797731	422	11	0.53	M-h	3Eh
12538	15.8	0.15	K161D	109.33979	321.70176	220.75282	24.52643	0.4060616	0.51497632	1.5415036	693	11	0.49	M-h	3Eh
12923	15.8	0.15	K161D	343.95083	147.08792	168.21328	5.30436	0.4920155	0.35869878	1.9617762	920	14	0.5	M-h	3Eh
