@relation pola_csv

@attribute H numeric
@attribute G numeric
@attribute Epoch {K161D,K15CO,K1642}
@attribute M numeric
@attribute Peri. numeric
@attribute Node numeric
@attribute Incl. numeric
@attribute e numeric
@attribute n numeric
@attribute a numeric
@attribute #Obs numeric
@attribute #Opp numeric
@attribute rms numeric
@attribute Per {M-v,M-h,M-c,M-N}
@attribute ts {3Eh,8.0,38h,08h}
@attribute Hazard {T,F}

@data
-1.733355,0.15,K161D,0.444717,-1.442901,-0.817094,0.855072,0.826894,0.880517,-1.160226,4.325449,11.125588,1.08,M-v,3Eh,T
-2.161833,0.15,K161D,0.039689,0.917744,1.587729,0.023373,0.335415,0.709203,-0.88373,16.120307,10.401737,1.81,M-v,3Eh,T
-1.947594,0.09,K161D,1.016602,1.00519,-1.322541,-0.588574,0.559904,0.552882,-0.51204,5.473495,8.59211,0.52,M-h,3Eh,T
-2.293672,0.15,K161D,-1.603585,0.830434,1.77773,2.345291,0.650011,0.416381,-0.006391,2.000776,6.782483,0.45,M-h,3Eh,T
-1.107119,0.15,K161D,-0.894984,-1.328829,1.709571,-1.028884,0.763828,0.383903,0.156932,-0.085713,2.077452,0.86,M-h,3Eh,T
-2.029993,0.15,K161D,-0.855342,-1.152735,-0.755783,4.463618,0.299149,0.672657,-0.809832,2.686746,4.972856,0.48,M-h,3Eh,T
-1.390574,0.15,K161D,-0.877481,1.052319,0.178849,0.875509,0.503055,0.487235,-0.298392,-0.304842,2.439377,0.65,M-h,3Eh,T
-2.277192,0.15,K161D,-0.991527,-0.800093,-0.942614,-0.924425,0.713125,0.307336,0.65235,3.372715,7.868259,0.53,M-v,3Eh,T
-0.645682,0.15,K161D,1.212307,-1.360174,0.373976,-0.632283,0.449882,1.271322,-1.547247,1.009932,1.715527,0.62,M-h,3Eh,T
-2.656229,0.15,K161D,-0.719609,-1.478054,1.577161,0.796704,0.422736,0.419034,-0.018796,7.012162,7.506334,0.43,M-h,3Eh,T
-2.49143,0.15,K161D,0.30777,1.35305,0.89329,0.803774,0.889875,0.68768,-0.841001,14.40062,10.039812,0.48,M-v,3Eh,T
-1.031312,0.15,K161D,-0.007393,1.15707,0.161287,-0.910213,0.322812,0.740725,-0.942551,2.434271,4.249005,0.53,M-h,3Eh,T
-1.271918,0.15,K161D,-1.328234,-1.215429,-0.195277,-0.276374,0.468532,1.001328,-1.306602,0.676475,5.696706,0.68,M-v,3Eh,T
-1.865194,0.15,K161D,0.644044,0.219058,-0.873882,0.040637,0.541471,0.302272,0.692382,1.748302,3.887079,0.59,M-h,3Eh,T
-1.05768,0.15,K161D,-0.677337,-1.57955,-0.942965,-0.806483,0.445617,0.396644,0.090206,0.195344,1.715527,0.88,M-v,3Eh,T
-2.033289,0.15,K161D,-0.135756,-0.853861,0.931518,-0.902873,0.626978,0.229877,1.420167,3.539443,5.334781,0.51,M-h,3Eh,T
-1.238958,0.15,K161D,0.688065,1.107616,-0.142121,-0.16668,0.444033,0.903422,-1.190473,1.695901,4.972856,0.51,M-h,3Eh,T
-2.260712,0.1,K161D,0.998282,0.935507,-0.466243,-1.10629,0.629382,0.244275,1.247022,24.823539,8.230185,0.57,M-v,3Eh,T
-2.55735,0.15,K161D,-0.470856,0.527443,1.179653,-0.557748,0.634413,0.353116,0.334546,7.87915,8.230185,0.5,M-v,3Eh,T
-1.667436,0.15,K161D,-0.047042,1.060988,1.342964,-0.661749,0.586545,0.569039,-0.558259,3.572789,6.420557,0.5,M-h,3Eh,T
-2.161833,0.15,K161D,0.892263,-0.120772,-0.872763,-0.879106,0.662838,0.302168,0.693219,2.786783,7.144408,0.52,M-v,3Eh,T
-0.480883,0.15,K161D,-1.271021,0.710144,0.073232,-0.714369,0.356974,0.953239,-1.252047,0.3192,1.715527,0.5,M-v,3Eh,T
-1.304878,0.15,K161D,0.732718,-0.225166,1.368115,-1.019996,0.359973,0.542603,-0.481445,1.95314,3.525154,0.58,M-v,3Eh,T
-1.733355,0.15,K161D,1.426885,-0.577735,1.475551,-0.366728,0.483128,0.898962,-1.184684,0.566911,4.249005,0.72,M-v,3Eh,T
-2.656229,0.15,K161D,0.197961,-0.997026,-0.91629,0.99175,0.657618,0.477456,-0.262413,0.447819,6.782483,0.7,M-v,3Eh,T
-1.898154,0.15,K161D,-0.661034,-0.727793,-1.562423,-0.496314,0.500012,0.471206,-0.23877,1.996013,5.696706,0.47,M-h,3Eh,T
-1.403757,0.15,K161D,-1.039394,-0.209417,-0.36044,-0.831421,0.478117,0.510056,-0.377851,0.676475,4.249005,0.43,M-h,3Eh,T
-1.667436,0.15,K161D,1.601292,-0.952046,1.345632,-0.730107,0.406005,1.101227,-1.407075,0.967059,3.525154,0.55,M-h,3Eh,T
-1.832235,0.15,K161D,-0.137262,0.744306,-0.729626,-0.702521,0.585296,0.687669,-0.84098,3.501334,6.782483,0.49,M-h,3Eh,T
-1.140079,0.15,K161D,0.312368,0.583088,0.094512,-0.838786,0.499596,0.687716,-0.841075,1.362444,3.525154,0.69,M-v,3Eh,T
-1.205999,0.15,K161D,0.142731,0.559889,1.659155,-0.799756,0.412758,0.797656,-1.038865,3.625189,4.61093,0.45,M-h,3Eh,T
-0.97528,0.15,K161D,-1.033045,-1.085224,0.355664,-0.946867,0.612411,0.251577,1.165565,3.934828,1.715527,0.71,M-v,3Eh,T
-1.07416,0.15,K161D,-1.047519,1.366794,1.24722,-0.624609,0.590482,0.249232,1.191294,0.333491,1.715527,0.53,M-h,3Eh,T
-1.700396,0.15,K161D,-0.807795,0.488753,-1.074561,0.186169,0.484229,0.418382,-0.015762,1.086151,3.525154,0.63,M-v,3Eh,T
-1.799275,0.15,K161D,0.375719,-0.07759,1.179114,-0.670559,0.506567,0.394254,0.102447,3.939592,3.525154,0.6,M-v,3Eh,T
-1.766315,0.15,K161D,-1.393023,-1.286878,-0.528727,1.789252,0.328386,0.630982,-0.716948,1.924558,4.249005,0.61,M-v,3Eh,T
-1.173039,0.15,K161D,-0.515253,0.947901,-0.957594,-0.871822,0.481838,0.554183,-0.515844,3.291732,4.61093,0.55,M-v,3Eh,T
-1.568556,0.15,K161D,-1.178852,0.65356,-0.152653,2.107697,0.164674,0.828311,-1.086118,3.568025,3.163228,0.51,M-v,3Eh,T
-1.140079,0.15,K161D,-1.615674,-0.64456,0.362615,-0.981929,0.456273,0.427051,-0.055498,0.285854,2.077452,0.61,M-v,3Eh,T
-1.931114,0.15,K161D,0.074822,-0.541425,-0.082438,2.18248,0.430481,0.533103,-0.452298,2.177032,3.525154,0.51,M-h,3Eh,T
-1.568556,0.15,K161D,-0.764787,-0.627586,-0.043626,-0.284334,0.625736,0.29348,0.764617,0.681239,2.439377,0.58,M-v,3Eh,T
-1.700396,0.15,K161D,1.581007,0.501675,-1.580279,0.197293,0.324709,0.706626,-0.878728,3.139295,4.249005,0.54,M-v,3Eh,T
-1.271918,0.15,K161D,-1.357945,1.038439,0.596058,-0.242009,0.355863,0.878426,-1.1574,1.491063,3.163228,0.53,M-h,3Eh,T
-2.095913,0.15,K161D,-0.632702,1.348748,0.463834,1.003894,0.406062,0.514976,-0.394209,2.782019,3.163228,0.49,M-h,3Eh,T
-2.095913,0.15,K161D,1.584982,-0.33028,-0.043182,-0.680627,0.492016,0.358699,0.300457,3.863373,4.249005,0.5,M-h,3Eh,T
-1.502637,0.15,K161D,-1.485721,-0.458168,-0.540488,0.366027,0.305519,0.638733,-0.734985,2.61529,3.525154,0.68,M-v,3Eh,T
-1.271918,0.15,K161D,-0.87945,0.54501,-1.106981,-0.971883,0.665567,0.205784,1.75433,0.247744,0.267825,0.72,M-v,3Eh,T
-2.59031,0.15,K161D,-1.068479,0.59089,0.847751,0.393128,0.858027,0.301504,0.698555,4.435014,5.334781,0.49,M-h,3Eh,T
-0.579763,0.15,K161D,0.425323,1.103074,0.527761,-0.533474,0.476526,0.503581,-0.355914,-0.27626,0.62975,0.55,M-v,3Eh,T
-1.469677,0.15,K161D,1.564525,1.377585,1.300611,-0.864662,0.5698,0.732342,-0.92732,2.93922,4.249005,0.53,M-v,3Eh,T
-1.997034,0.15,K161D,1.649393,1.078056,-0.080365,3.351552,0.589407,0.392723,0.110358,5.225784,3.163228,0.47,M-v,3Eh,T
-0.97528,0.15,K161D,0.533297,-0.179137,-0.999832,-1.003378,0.280142,0.646878,-0.753551,4.449305,2.439377,0.53,M-v,3Eh,T
-1.337838,0.15,K161D,0.866268,0.477431,1.264319,0.041023,0.471857,0.512803,-0.387015,0.352545,2.801303,0.42,M-h,3Eh,T
-1.304878,0.15,K161D,0.924133,-1.737362,-0.408117,-0.38331,0.433403,0.428021,-0.059859,1.086151,2.801303,0.54,M-h,3Eh,T
-1.667436,0.15,K161D,0.588117,0.415398,1.775604,-0.078813,0.507937,0.445306,-0.134939,1.981722,3.525154,1.08,M-v,3Eh,T
-2.029993,0.15,K161D,-0.084129,-1.368661,-0.905573,-0.309264,0.577373,0.315498,0.590088,1.824521,1.715527,0.55,M-v,3Eh,T
-1.403757,0.15,K161D,0.720968,-0.136005,-0.875695,-0.500749,0.417764,1.617724,-1.754254,6.912125,3.163228,0.55,M-v,3Eh,T
-1.799275,0.15,K161D,-1.473786,0.245054,-0.321531,0.073659,0.144326,0.812516,-1.062141,11.918746,1.353601,0.36,M-h,3Eh,T
-1.733355,0.15,K161D,0.713837,-0.754973,0.396477,-0.786312,0.4839,0.568764,-0.557491,4.563633,4.249005,0.6,M-v,3Eh,T
-0.94232,0.15,K161D,-0.511387,1.361772,-0.260678,-0.700445,0.519412,0.373512,0.214146,-0.057131,1.353601,0.52,M-h,3Eh,T
-1.403757,0.15,K161D,1.164631,1.17581,-0.318342,0.432093,0.752352,0.548493,-0.499093,1.481536,2.439377,0.55,M-v,3Eh,T
-0.843441,0.15,K161D,0.206552,-1.660019,0.220455,-0.02989,0.50675,0.326173,0.512592,1.586337,0.991676,0.61,M-v,3Eh,T
-1.865194,0.15,K161D,0.233151,1.570705,1.35973,-0.266615,0.49252,0.339078,0.424369,2.577181,4.249005,0.49,M-h,3Eh,T
-0.546803,0.15,K161D,0.921525,1.113052,1.730139,-0.955007,0.555227,0.49031,-0.309457,0.881313,2.801303,0.54,M-h,3Eh,T
-1.535597,0.15,K161D,0.446211,-1.550497,1.60293,-0.932531,0.622747,0.26335,1.042215,2.248488,0.62975,0.52,M-v,3Eh,T
-2.062953,0.15,K161D,1.195128,-0.067367,-1.405286,-0.630202,0.572821,0.268535,0.990757,1.600628,4.61093,0.48,M-h,3Eh,T
-2.293672,0.15,K161D,0.67504,-0.141087,-0.376246,0.068817,0.642195,0.219031,1.563018,2.93922,3.525154,0.53,M-h,3Eh,T
-1.634476,0.15,K161D,-1.049403,-1.328111,0.640936,0.850344,0.538327,0.369618,0.236278,2.963039,1.715527,0.35,M-h,3Eh,T
-1.07416,0.15,K161D,0.841059,-1.129127,0.256535,1.20252,0.639878,0.342659,0.400875,-0.18575,0.267825,0.52,M-h,3Eh,T
-1.0412,0.15,K161D,-0.319008,1.379296,1.356325,-0.516643,0.419599,0.539027,-0.470574,0.438291,2.801303,0.54,M-h,3Eh,T
-1.601516,0.15,K161D,-0.991613,0.354627,0.167491,2.428986,0.268981,0.614223,-0.676654,1.795938,2.439377,0.48,M-h,3Eh,T
-0.909361,0.15,K161D,0.146041,-1.601408,0.053556,-1.031584,0.264723,1.125979,-1.429654,1.371971,2.439377,0.59,M-h,3Eh,T
-1.00824,0.15,K161D,-0.124512,-1.135872,0.072186,-0.168335,0.362969,0.578028,-0.58304,0.600256,3.163228,0.5,M-h,3Eh,T
-0.414964,0.15,K161D,1.648059,1.043814,0.027724,-0.900908,0.280647,0.598373,-0.636821,-0.085713,1.353601,0.62,M-h,3Eh,T
-1.370798,0.15,K161D,1.01686,1.324998,-0.959809,-0.846836,0.383879,0.467453,-0.22432,3.363187,2.801303,0.41,M-h,3Eh,T
-0.97528,0.15,K161D,1.260574,0.9904,-0.618019,-0.833533,0.539714,0.864824,-1.138734,0.871786,3.525154,0.5,M-v,3Eh,T
-1.865194,0.15,K161D,1.075843,0.10753,0.697041,2.262085,0.68847,1.914772,-1.880528,8.107807,3.887079,0.65,M-v,3Eh,T
-1.700396,0.15,K161D,1.187318,0.032113,0.886496,-0.354755,0.212642,0.658458,-0.779289,0.89084,2.801303,0.43,M-h,3Eh,T
